,title,content
29,Rise of the Eldrazi Limited Set Review Part 1,"This week on Limited Resources, Ryan and Marshall prep our listeners for the upcoming release of Rise of the Eldrazi with a limited focused primer on all the uncommons and commons in the set. This is part one of a two part review."
30,Rise of the Eldrazi Limited Set Review Part 2,"This week on Limited Resources, Ryan and Marshall prep our listeners for the upcoming release of Rise of the Eldrazi with a limited focused primer on all the uncommons and commons in the set. This is part two of a two part review."
51,Scars of Mirrodin Set Review Part 2,"We actually ran out of space on the first one, so here is the final part of our Scars review extravaganza! Thanks for listening."
51,Scars of Mirrodin Set Review Part 2,"We actually ran out of space on the first one, so here is the final part of our Scars review extravaganza! Thanks for listening."
67,Mirrodin Besieged Set Review,"It’s set-review time on LR and you know what that means: a more in-depth, card-by-card analysis of the Mirrodin Besieged Limited environment than you will find anywhere else. We also give you our answers to the question on everyone’s minds: Phyrexian or Mirran at the prerelease?"
80,You Had Me at Immolating Souleater (NPH Set Review Part 1),"It’s set review time! Marshall and Ryan use the early leak to do their ever-popular blow-by-blow of the new commons and uncommons in two parts. This week, artifacts, lands, and white cards get the full Limited Resources treatment. Also, the boys weigh in on the suspensions surrounding the New Phyrexia leak, and talk about the upcoming Magic Online Community Cup."
81,You Compleat Me (NPH Set Review Part 2),"Back for the second part of their New Phyrexia Limited Set Review, Marshall and Ryan give you their take on every blue, black, red, and green non-rare in the set, just in time for your local prerelease. Infect everywhere, significant color bleeding with effectively colorless spells, and even some free ones to keep in mind. New Phyrexia is going to shake up Scars of Mirrodin Limited, so get in your prep with Ryan and Marsh!"
89,M12 Limited Set Review,"This week Marshall welcomes frequent LR guest Sam @samstod Stoddard on to break down the vastly different world of M12 limited! Every common and uncommon is broken down in detail, and overall views are given for the set. There are a lot of big changes so don’t miss out!"
99,Innistrad Set Review,"This week on Limited Resources, Jon and Marshall cover every single common and uncommon in Innistrad in order to get you ready for prereleases and upcoming limited events!"
117,Dark Ascension Set Review: Commons and Uncommons,"This week on Limited Resources Marshall and Jon do the big set review show for Dark Ascension! Come explore this sweet new set and get yourself in prime position to win packs for the coming months! Every single Common and Uncommon are covered in depth on this episode, giving you a solid foundation from which to expand your knowledge base."
118,Dark Ascension Set Review: Rare and Mythic Rare,"This week on Limited Resources Marshall and Jon take a close look at each and every Rare and Mythic Rare from Dark Ascension. This completes the set review for Dark Ascension, and boy are the rares in this set interesting. There is even a 6-mana do *something* enchantment! Tune in to hear all the details and get prepared for your P1P1 for the rest of the draft cycle"
130,Avacyn Restored Set Review: Commons and Uncommons,"This week on Limited Resources Marshall and Jon do another installment of their famous Set Review shows, this time focusing on the Commons and Uncommons from Avacyn Restored. Get your fix and get prepared for battle with the new set! This is a long episode, so buckle in before starting!"
131,Avacyn Restored Set Review: Rare and Mythic Rare,This week on Limited Resources Jon and Marshall do a full limited review of all the Rares and Mythic Rares from Avacyn Restored!
139,Magic 2013 Set Review – Commons and Uncommons,"This week on Limited Resources Marshall and Jon tackle all of the commons and uncommons from M13 in the traditional LR style! Every card is dissected for limited play in an effort to help get you prepared for your pre-release, release, and subsequent limited events."
