epnum,setreview
29,ROE Part 1
30,ROE Part 2
51,SOM Part 1
51,SOM Part 2
67,MBS
80,NPH Part 1
81,NPH Part 2
89,M12 C/U
99,ISD
117,DKA C/U
118,DKA R/M
130,AVR C/U
131,AVR R/M
139,M13 C/U
140,M13 R/M
150,RTR C/U
151,RTR R/M
167,GTC C/U
168,GTC R/M
180,DGM C/U
181,DGM R/M
186,MMA
191,M14 C/U Part 1
191,M14 C/U Part 2
192,M14 R/M
201,THS C/U
202,THS R/M
219,BNG C/U
220,BNG R/M
231,JOU C/U
232,JOU R/M
242,M15 C/U
243,M15 R/M
252,KTK C/U
253,KT R/M
267,FRF C/U
268,FRF R/M
276,DTK C/U
277,DTK R/M
292,ORI C/U
293,ORI R/M
303,BFZ C/U
304,BFZ R/M
319,OGW C/U
320,OGW R/M
330,SOI C/U
331,SOI R/M
345,EMN C/U
346,EMN R/M
355,KLD C/U
356,KLD R/M
371,AER C/U
372,AER R/M
385,AKH C/U
386,AKH R/M
396,HOU C/U
397,HOU R/M
407,XLN C/U
408,XLN R/M
423,RIX C/U
424,RIX R/M
427,LEA (1E) Alpha
437,DOM C/U
438,DOM R/M
447,M19 C/U
448,M19 R/M
459,GRN C/U
460,GRN R/M
475,RNA C/U
476,RNA R/M
488,WAR C/U
489,WAR R/M
